ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0050821,protein stabilization,31/742,54/1817,0.574074074,1.405785165,2.514331477,0.00929747,0.170783028,0.152875908,P35080/Q15185/P07900/Q9H6T3/P21333/P10809/O94874/Q9Y230/P27797/P50990/Q99832/P49368/Q86Y82/P35232/P17987/P78371/O15212/P49069/P04406/O43670/Q93009/O15027/P46379/P07737/P48643/P19388/P62081/O95817/P46777/O60716/Q6ZWJ1,31
BP,GO:0051649,establishment of localization in cell,156/742,334/1817,0.467065868,1.143744855,2.415186156,0.009503695,0.170783028,0.152875908,P35080/P12270/P55072/P07900/Q99966/P35658/O75312/Q9BVL2/P21333/Q13148/Q86UA6/P09936/P34932/Q9Y6Y8/P20700/P11142/P62826/P27797/Q96EA4/Q15717/O43707/P63167/O75152/P63279/P63104/P22626/P05455/P33176/Q5JRA6/Q14203/P14625/Q4J6C6/Q6ICB0/P37198/P38646/Q9UBC2/P84103/P39687/Q7Z434/Q9Y263/P02545/Q658Y4/Q53F19/Q86Y82/P11717/Q04917/Q9H4M9/Q53FT3/P27824/Q96QK1/P19022/Q03252/P52292/Q9Y6G9/P63010/P43487/P35579/Q8WVM8/P06748/Q14974/Q9Y678/P22307/Q96N67/P52948/P11021/P82979/Q96FV9/Q9H900/P30626/Q9BRG1/P52565/O95071/O95486/Q13445/Q6IAA8/Q92905/Q4V328/O43670/Q7Z3B4/Q93009/Q8TD16/Q15907/Q9Y448/Q9Y5X1/P50542/P07196/P07237/Q9P287/P63261/P46060/Q10567/Q5VIR6/O43747/Q9UHY1/Q86U42/O95373/P27816/Q8WUM4/O15027/Q9H814/Q9BWF3/O95219/Q15904/Q9P0L0/Q13263/O00410/Q7Z3T8/P49792/P62258/Q13492/Q9Y4L1/P60953/Q8N1F7/P60604/P51149/Q9Y3B3/O75844/Q9C0C9/O15234/P50402/Q9Y5L4/P48444/Q9UMR2/P50570/O95817/Q9NW64/Q00839/Q00610/P09497/O60271/Q9H0V9/Q6P3W7/Q14247/Q9H6Z4/P46821/Q08209/P49790/Q8NBU5/Q86V81/P60468/Q9UNZ2/P53367/Q9Y5X3/Q12846/Q99584/Q8IUD2/Q13438/Q13561/Q06787/P42704/P07437/Q14204/P38919/Q6ZWJ1/Q12765/Q9NR31,156
BP,GO:0007507,heart development,30/742,52/1817,0.576923077,1.412761767,2.508328554,0.009514743,0.170783028,0.152875908,P25098/P21333/P27797/Q9HB71/P27708/P10253/O14641/P43243/P02545/O00151/P78527/P63010/Q14126/P12004/P15924/P30626/Q10567/O94992/P60953/O75844/Q9ULT8/P46109/Q00839/Q9H2U1/P25490/Q14790/Q15149/P49711/P11413/P11586,30
BP,GO:1904951,positive regulation of establishment of protein localization,29/742,50/1817,0.58,1.420296496,2.503099649,0.009720487,0.170783028,0.152875908,P12270/P07900/P30419/O75312/P21333/Q13148/P63244/P62826/Q9Y371/P63167/Q7Z434/Q96QK1/P17987/Q7Z6Z7/P30626/O95071/O95486/P62937/Q13263/O00410/P62258/P60953/P50402/O95817/Q9NW64/Q12846/Q9UBE0/P35580/P68036,29
BP,GO:0048545,response to steroid hormone,28/742,48/1817,0.583333333,1.428459119,2.498743836,0.009911676,0.170783028,0.152875908,Q15185/O94874/P11142/P04818/P05023/P62826/P27797/P17844/P27708/P68133/P21964/Q04917/Q13153/Q02790/P35232/P25705/Q14126/P12004/O95071/P82094/P07196/P09874/Q00839/A5YKK6/Q9BTK6/O95831/Q14151/P68036,28
BP,GO:0032388,positive regulation of intracellular transport,18/742,28/1817,0.642857143,1.574220254,2.543360927,0.00991674,0.170783028,0.152875908,P12270/P07900/O75312/P21333/Q13148/P62826/Q7Z434/Q9H4M9/P22307/O95071/Q13263/O00410/P62258/P60953/P50402/O95817/Q9NW64/Q14204,18
BP,GO:0051017,actin filament bundle assembly,18/742,28/1817,0.642857143,1.574220254,2.543360927,0.00991674,0.170783028,0.152875908,P35080/P21333/Q16658/Q05682/P14625/O00151/Q13153/P29966/P13797/Q4VCS5/P63261/P16949/P07737/Q96AC1/Q9UHB6/P60953/P50570/Q13177,18
BP,GO:0061572,actin filament bundle organization,18/742,28/1817,0.642857143,1.574220254,2.543360927,0.00991674,0.170783028,0.152875908,P35080/P21333/Q16658/Q05682/P14625/O00151/Q13153/P29966/P13797/Q4VCS5/P63261/P16949/P07737/Q96AC1/Q9UHB6/P60953/P50570/Q13177,18
BP,GO:0071345,cellular response to cytokine stimulus,53/742,101/1817,0.524752475,1.285007072,2.448010772,0.009975377,0.170783028,0.152875908,P12270/P10809/O75369/P19338/Q9HB71/P09211/P67809/O43707/P13010/Q8TCS8/P33176/Q13546/Q14240/Q9H3Q1/P84103/P16989/Q7Z434/P08670/Q6Y7W6/P31939/P35232/P31948/Q92945/P31153/P11021/P04406/P61086/P30101/P61158/P07237/P63261/Q14166/P06576/P49327/Q9Y5A9/P12268/P60953/P60604/O14908/Q9NYF8/Q02952/P02786/P46109/Q00839/P25490/P07814/Q14790/P54727/Q14694/Q01804/Q12846/O60506/Q6ZWJ1,53
BP,GO:0010605,negative regulation of macromolecule metabolic process,173/742,374/1817,0.462566845,1.132727705,2.392323265,0.010005426,0.170783028,0.152875908,Q14103/P12270/P06733/Q96DT7/Q9UPQ9/Q9NZI8/Q99966/Q07021/P21333/Q04637/Q13148/O00571/P09936/Q8WXI9/P19338/P63244/P48506/P20700/O94874/P11142/P04818/Q9Y230/P62826/P62495/P27797/Q9GZS3/P27348/P23246/P17844/Q8N163/P09211/P11940/P60228/P67809/Q15717/P63167/P63279/Q14011/P13010/Q9UK61/P63104/P26599/P22626/P05455/Q8TCS8/P35637/O60934/Q13546/Q8NC51/Q15393/Q92785/Q9Y2V2/P37198/P84103/Q13573/Q9UGR2/Q15637/P16989/P26358/Q9Y263/O14929/P02545/P08670/Q53F19/Q6Y7W6/Q96QK1/P35232/Q03252/P78527/Q92879/O00273/O15212/Q9UQ80/Q9NR09/Q9NPI6/Q9Y5K5/P49069/P61978/P06748/Q56P03/Q92945/P12004/Q7Z5K2/Q7KZF4/P04406/P82979/Q13951/Q9BRG1/O95071/P62877/P82094/Q96KC8/P26368/Q93009/Q4VCS5/Q9Y3F4/Q9H0D6/Q9UKD2/Q9NQT4/P20810/O95373/P13489/O94992/Q9H814/Q99543/Q9BWF3/P46379/Q5RKV6/P62937/Q14671/Q13263/O00410/P78318/P61201/Q9Y5A9/Q13492/Q9H3P2/Q96G74/Q96PU8/P09874/Q96F86/O14908/Q9NYF8/P49959/O75844/Q15233/O15234/P07305/O95197/Q13310/P12956/O43765/Q8WXF1/Q6P2E9/P46109/Q9Y6X8/P62081/Q99549/Q00839/Q96T58/Q9H2U1/Q9Y6Y0/Q00610/Q6PJT7/P25490/P07814/Q3MIT2/P62195/Q12906/Q9NR30/O75534/A5YKK6/Q8IUE6/Q8TAQ2/Q13242/Q08209/P46777/O14744/Q9BUA3/P49711/P11413/Q9Y4Y9/P23381/Q9BXP5/Q9UN36/Q06787/P43246/P42704/O60506/P38919/Q92922/Q9UHD1/Q13177,173
BP,GO:0031032,actomyosin structure organization,19/742,30/1817,0.633333333,1.550898473,2.527118238,0.010182165,0.170783028,0.152875908,P35080/P68133/O00151/Q13153/P46940/P35579/Q4VCS5/P63261/P16949/Q8WUM4/P07737/Q96AC1/P60953/P50570/Q15149/O75083/P35580/Q13045/Q13177,19
BP,GO:0070201,regulation of establishment of protein localization,46/742,86/1817,0.534883721,1.309816335,2.444897447,0.010302931,0.170783028,0.152875908,P12270/P07900/P30419/O75312/Q9BVL2/P21333/Q13148/P07339/P63244/P11142/P62826/Q9Y371/P63167/O43768/Q14C86/Q7Z434/Q96QK1/P17987/Q8WVM8/Q7Z6Z7/P30626/O95071/O95486/Q96KC8/Q4V328/Q7Z3B4/Q93009/P46060/P62937/Q13263/O00410/P62258/P60953/P60604/P50402/O95817/Q9NW64/P31150/Q08209/P53367/Q12846/Q9UBE0/Q13438/Q6ZWJ1/P35580/P68036,46
BP,GO:0070727,cellular macromolecule localization,198/742,433/1817,0.457274827,1.11976868,2.371782211,0.01044738,0.170783028,0.152875908,P12270/P55072/P07900/Q14676/Q01082/P35658/P30419/O75312/Q9BVL2/P21333/Q04637/P10809/Q13148/P62805/Q86UA6/O00571/P34932/P13667/P07339/Q9Y6Y8/P63244/P20700/O94874/P11142/Q9Y230/P62826/P27797/P27348/Q9Y371/P67809/Q96EA4/Q15717/O43707/P63167/P35221/O43768/P13010/Q9UK61/P63104/P50990/Q99832/P05455/P33176/O60934/Q5JRA6/P49368/P27694/Q14C86/O14641/P55957/P14625/Q4J6C6/Q6ICB0/P37198/P38646/Q7Z434/P21964/P02545/Q658Y4/Q86Y82/Q04917/Q9H4M9/Q13153/Q53FT3/Q13439/P27824/Q96QK1/P17987/P19022/Q03252/P52292/P78371/O75695/P20290/P63010/P43307/O75674/Q9NPI6/P35579/Q8WVM8/Q14BN4/P49069/P06748/Q14974/Q9Y678/Q7Z5K2/P22307/Q7Z6Z7/P52948/P11021/Q8N668/Q9H900/P15924/P30626/Q9BRG1/P52565/O95071/P63208/O95486/Q13445/Q6IAA8/Q96KC8/Q4V328/Q7Z3B4/P49321/Q93009/Q8TD16/Q15907/Q4VCS5/Q9Y5X1/P50542/Q9BVP2/Q99986/P63261/P46060/Q10567/Q5VIR6/Q9P2E9/O43747/O95373/Q10713/Q8WUM4/O15027/Q13123/Q9H814/Q9BWF3/O95219/Q15904/P46379/Q9P0L0/Q9NT62/Q96AC1/P62937/Q13263/O00410/Q7Z3T8/P49792/P62258/Q8NEJ9/Q13492/P60953/P48643/Q8N1F7/Q86UP2/Q96PU8/P09874/P60604/P51149/Q9Y3B3/O14908/O15234/P50402/O43765/Q9Y5L4/P48444/P02786/P46109/P50570/O95817/Q9NW64/Q00839/Q9H2U1/Q00610/P09497/Q9H0V9/P31150/Q15149/Q14247/O76021/Q9H6Z4/Q96I24/O15381/Q08209/P49790/Q8NBU5/Q14789/P60468/Q9UNZ2/P53367/O95831/P49711/Q9Y5X3/Q9UNN5/Q12846/Q99584/Q92499/Q8IUD2/Q9UBE0/Q13438/Q13561/P43246/O14773/Q6ZWJ1/P35580/P61019/P68036/Q9NR31/Q13177,198
BP,GO:0032204,regulation of telomere maintenance,24/742,40/1817,0.6,1.469272237,2.492681474,0.010452419,0.170783028,0.152875908,Q14103/Q15185/P07900/Q9Y230/P13010/P50990/Q99832/P22626/O60934/P49368/P02545/P17987/P78371/Q9Y5K5/Q93009/Q9BVP2/P48643/P09874/P49959/O96019/Q00839/Q9H2U1/P25490/O15381,24
BP,GO:0031047,regulatory ncRNA-mediated gene silencing,23/742,38/1817,0.605263158,1.48216059,2.494888705,0.010506384,0.170783028,0.152875908,Q9UPQ9/Q04637/P62826/P17844/P11940/Q15717/P22626/Q13546/P84103/Q9UGR2/Q53F19/Q92879/P61978/Q7KZF4/Q9BWF3/Q14671/O75844/Q00839/Q96T58/Q3MIT2/A5YKK6/Q9BXP5/Q06787,23
BP,GO:0006397,mRNA processing,92/742,188/1817,0.489361702,1.198342605,2.385558316,0.010859032,0.170783028,0.152875908,Q07021/O75312/Q13148/Q99459/P19338/P11142/P62318/P23246/P17844/Q8N163/P11940/P67809/Q14011/Q8IWZ8/O94906/P26599/P22626/Q8TCS8/Q9BQA1/Q15393/Q15029/P84103/Q13573/Q15637/Q53F19/Q5VT52/Q6UX04/Q9H307/Q92879/O75400/P55081/P61978/Q92945/Q1KMD3/P41567/P31943/Q15427/P52948/P51003/Q96FV9/O75940/P42285/O43809/P26368/Q9Y3F4/Q9H0D6/Q9P2I0/P16383/P52272/Q9H0G5/Q86U42/O43390/Q13123/Q9BWF3/Q15459/P98179/Q9NWZ8/Q96DF8/Q9ULR0/Q12874/O95319/Q07955/Q96PU8/Q14320/Q12849/Q15233/O15234/O43290/P09661/Q9NW64/Q00839/Q9H2U1/Q9Y6Y0/Q12906/O75643/Q13242/O14744/Q86V81/O60828/Q9NR56/O95400/P62314/Q9Y3C6/Q9Y4Y9/Q92499/Q9BXP5/Q06787/O60506/Q14151/P38919/P18583/P51991,92
BP,GO:0021762,substantia nigra development,11/742,15/1817,0.733333333,1.795777179,2.570486688,0.01091237,0.170783028,0.152875908,P27348/P63167/Q04917/P11021/P14854/O15027/P18859/P62258/P60953/P11413/Q9UN36,11
BP,GO:0030048,actin filament-based movement,11/742,15/1817,0.733333333,1.795777179,2.570486688,0.01091237,0.170783028,0.152875908,P21333/P05023/O43707/Q99996/P60660/P35579/Q14126/P15924/P30626/Q96PU8/P35580,11
BP,GO:0031960,response to corticosteroid,11/742,15/1817,0.733333333,1.795777179,2.570486688,0.01091237,0.170783028,0.152875908,P04818/P62826/P27708/P21964/P25705/P12004/P07196/P09874/Q00839/O95831/P68036,11
BP,GO:0048857,neural nucleus development,11/742,15/1817,0.733333333,1.795777179,2.570486688,0.01091237,0.170783028,0.152875908,P27348/P63167/Q04917/P11021/P14854/O15027/P18859/P62258/P60953/P11413/Q9UN36,11
BP,GO:1904358,positive regulation of telomere maintenance via telomere lengthening,11/742,15/1817,0.733333333,1.795777179,2.570486688,0.01091237,0.170783028,0.152875908,Q14103/Q15185/P07900/P50990/Q99832/P22626/P49368/P17987/P78371/P48643/Q9H2U1,11
CC,GO:0098793,presynapse,38/762,70/1854,0.542857143,1.320809899,2.285089587,0.015933903,0.173160184,0.148993535,P35080/Q16563/P25098/P11142/P27708/P35637/Q86Y82/Q04917/Q9H4M9/P27824/Q96QK1/P19022/Q9BTT0/P63010/Q92905/Q4V328/Q15907/Q9Y5X1/P07196/P63261/Q10567/O43747/Q96A49/Q96CX2/O95219/Q15904/Q13492/P51149/O14908/P50570/P09497/P31150/O60716/Q9UJU6/Q8IUD2/Q06787/Q12765/P68036,38
CC,GO:0005681,spliceosomal complex,50/762,96/1854,0.520833333,1.267224409,2.245464448,0.016768836,0.173160184,0.148993535,Q99459/P19338/P11142/P62318/P17844/P11940/P67809/Q14011/Q8IWZ8/O94906/P22626/Q15393/Q15029/Q13573/Q15637/Q6UX04/Q9H307/O75400/P55081/P61978/P31943/Q15427/O75940/P42285/P26368/P16383/P52272/O43390/Q13123/Q15459/P98179/Q96DF8/Q9ULR0/Q12874/Q07955/O15234/O43290/P09661/Q9NW64/Q00839/Q9Y6Y0/O14979/O75643/Q86V81/P62314/Q9Y3C6/Q9Y4Y9/O60506/P38919/P51991,50
CC,GO:0030424,axon,43/762,81/1854,0.530864198,1.291630213,2.241426657,0.017345836,0.173160184,0.148993535,Q9NZI8/P07900/Q01082/O75312/P21333/P09936/P11142/P05023/P27708/Q16658/P63167/P33176/Q14203/P58546/P21964/P08670/P07197/Q13153/Q02790/P46940/Q96N67/Q4V328/P07196/P63261/P46060/Q96A49/P27816/Q07866/Q14671/Q8NEJ9/P50570/Q9H2U1/Q6PJT7/P31150/Q15149/Q14247/P46821/O60716/Q8WX93/Q9UN36/Q13561/Q06787/Q14204,43
CC,GO:0030017,sarcomere,17/762,27/1854,0.62962963,1.531933508,2.325272382,0.017359486,0.173160184,0.148993535,P06733/Q01082/P21333/O75369/O43707/P68133/O00151/Q13153/Q14BN4/P30626/P60900/O76003/Q96AC1/O95817/Q15149/Q08209/Q8WX93,17
CC,GO:0030426,growth cone,19/762,31/1854,0.612903226,1.491236982,2.303469381,0.017744847,0.173160184,0.148993535,Q9NZI8/P07900/O75312/P21333/Q16658/Q02790/P46940/Q96N67/P07196/Q96A49/Q07866/P50570/Q14247/P46821/O60716/Q8WX93/Q9UN36/Q13561/Q06787,19
CC,GO:0030016,myofibril,20/762,33/1854,0.606060606,1.474588404,2.297327945,0.017769468,0.173160184,0.148993535,P06733/Q01082/P21333/O75369/O43707/P68133/Q05682/O00151/Q13153/Q14BN4/P30626/P60900/P63261/O76003/Q09666/Q96AC1/O95817/Q15149/Q08209/Q8WX93,20
CC,GO:0048471,perinuclear region of cytoplasm,59/762,116/1854,0.50862069,1.237510182,2.206430321,0.017996985,0.173160184,0.148993535,P55072/Q9NZI8/P07900/O75312/P21333/P60842/P63244/P11142/P27797/Q14677/O43707/P63279/Q8IWX8/P33176/Q8NC51/P14625/Q14240/P39687/P16989/P58546/P02545/P11717/Q9H4M9/Q02790/Q96QK1/P04406/O95071/Q8NEF9/Q92905/P08133/O00299/Q9Y696/P46060/Q5VIR6/O43747/Q96A49/O15027/Q9BWF3/Q9P0L0/P49792/Q13492/Q92597/O75821/O15234/P02786/P25205/O60271/Q16513/Q15149/P46821/O95831/Q9Y5X3/Q9UNN5/Q12846/Q99584/Q9UN36/Q06787/P42704/Q13177,59
BP,GO:0009892,negative regulation of metabolic process,182/742,396/1817,0.45959596,1.12545264,2.344693072,0.01128909,0.175254013,0.156878097,Q14103/P12270/P06733/Q96DT7/Q9UPQ9/Q9NZI8/Q99966/Q07021/P21333/Q04637/Q13148/O00571/P09936/Q8WXI9/P19338/P63244/P48506/P20700/O94874/P11142/P04818/Q9Y230/P05023/P62826/P62495/P27797/Q9GZS3/P27348/P23246/P17844/Q8N163/P09211/P11940/P60228/P67809/Q15717/P63167/P63279/Q14011/P13010/Q9UK61/P63104/P26599/P22626/P05455/Q8TCS8/P35637/O60934/Q13546/Q8NC51/Q15393/Q92785/Q9Y2V2/P37198/P84103/Q13573/Q9UGR2/Q15637/P16989/P26358/Q9Y263/O14929/P02545/P08670/Q53F19/Q6Y7W6/Q96QK1/P35232/Q03252/P78527/Q92879/P46940/O00273/O15212/Q9UQ80/Q9NR09/Q9NPI6/Q9Y5K5/Q8WVM8/P49069/P61978/P06748/Q56P03/Q92945/P12004/Q7Z5K2/Q96N67/Q7KZF4/P04406/P82979/Q13951/Q9BRG1/O95071/Q12931/P62877/P82094/Q96KC8/P26368/Q93009/O43847/Q4VCS5/Q9Y3F4/Q9H0D6/Q9UKD2/Q9NQT4/P20810/O95373/P13489/O94992/Q9H814/Q99543/Q9BWF3/P46379/Q5RKV6/P62937/Q14671/Q13263/O00410/P78318/P61201/Q9Y5A9/Q13492/Q9H3P2/Q96G74/Q96PU8/P09874/Q96F86/O14908/Q9NYF8/P49959/O75844/Q15233/O15234/P07305/O95197/Q13310/P12956/O43765/Q8WXF1/Q6P2E9/P46109/Q9Y6X8/P62081/Q99549/Q00839/Q96T58/Q9H2U1/Q9Y6Y0/Q00610/Q6PJT7/P25490/P07814/Q3MIT2/P06280/P62195/Q12906/Q9NR30/O75534/A5YKK6/Q8IUE6/Q8TAQ2/Q13242/Q08209/P46777/O14744/Q9BUA3/P49711/P11413/Q9Y4Y9/P23381/Q9BXP5/Q9UN36/Q86XL3/Q8NF37/Q06787/P43246/P42704/O60506/P38919/Q92922/Q9UHD1/Q13177,182
BP,GO:0035295,tube development,43/742,80/1817,0.5375,1.316223046,2.402670656,0.011626586,0.179049418,0.160275542,Q15185/Q99966/P21333/P00558/Q04637/P19338/P04818/Q96AY3/P63104/Q9Y6I3/Q05682/Q5JRA6/O14641/P78347/Q13153/Q53FT3/P14618/P04040/P19022/P08648/P29966/P50552/P35579/Q4VCS5/Q9Y696/P63261/Q9P0K8/P13489/O43175/P06576/P46379/P07737/P60953/Q96PU8/P46109/P62081/P08047/Q14790/Q12904/Q8IZ21/P11586/P23381/P09960,43
CC,GO:0005635,nuclear envelope,52/762,101/1854,0.514851485,1.252670149,2.180858766,0.019480281,0.182499476,0.157029413,P12270/P06733/Q86WB0/P35658/Q9BVL2/Q9Y3I0/P20700/P62826/P27797/Q9HB71/P80303/P63279/Q14203/P37198/P43243/P02545/P11717/Q13153/P27824/Q03252/P52292/Q9UNX4/P43487/Q14974/P52948/P04406/Q96KC8/Q7Z3B4/Q8TD16/O00299/P46060/O95373/Q99543/Q9P0L0/O00410/P49792/P42166/Q07955/Q8N1F7/P09874/O75844/O15234/P50402/Q9BTV4/Q9UMR2/Q9H6Z4/Q96C57/P49790/Q9UNN5/P42704/P07437/Q12765,52
CC,GO:0030139,endocytic vesicle,31/762,56/1854,0.553571429,1.346878515,2.201306153,0.020244312,0.184794233,0.159003908,P10321/P07900/O75369/P27797/P33176/Q14C86/O14641/P14625/Q9H3Q1/P08670/Q86Y82/P11717/Q9H4M9/Q9Y6G9/P63010/P30101/Q15907/Q4VCS5/P63261/Q13492/Q9Y4L1/P60953/P51149/P02786/P50570/Q00610/P09497/P04440/Q14247/Q12846/Q6ZWJ1,31
CC,GO:0030118,clathrin coat,10/762,14/1854,0.714285714,1.737907762,2.314520655,0.021194583,0.187169646,0.161047803,Q14677/Q9Y6I3/Q9UBC2/P11717/P63010/Q10567/O43747/Q13492/Q00610/P09497,10
CC,GO:0030135,coated vesicle,29/762,52/1854,0.557692308,1.356904906,2.180121373,0.021556055,0.187169646,0.161047803,P10321/P10809/Q9Y6Y8/P11142/Q14677/Q9Y6I3/O14641/P11717/P63010/Q9Y678/O95486/Q13445/Q9Y5X1/Q10567/O43747/O15027/Q15904/Q13492/Q9Y3B3/P48444/P02786/P50570/Q00610/P09497/Q9H0V9/Q6P3W7/P04440/Q9UJU6/Q9NR31,29
BP,GO:0010810,regulation of cell-substrate adhesion,12/742,17/1817,0.705882353,1.728555573,2.506724095,0.012442551,0.188597728,0.168822683,Q07021/P21333/P27797/O43707/Q9Y490/P08648/P07237/P63261/Q13630/Q96AC1/P60953/P46109,12
BP,GO:0030901,midbrain development,12/742,17/1817,0.705882353,1.728555573,2.506724095,0.012442551,0.188597728,0.168822683,P27348/P63167/Q04917/Q9Y5K5/P11021/P14854/O15027/P18859/P62258/P60953/P11413/Q9UN36,12
BP,GO:0065008,regulation of biological quality,162/742,350/1817,0.462857143,1.133438583,2.307576084,0.01254367,0.188645041,0.168865035,Q14103/P35080/Q15185/P55072/Q13813/Q9UPQ9/Q9NZI8/P07900/P25098/O43716/Q01082/Q9H6T3/P21333/Q04637/P10809/Q13148/P63244/P48506/O94874/P11142/Q9Y230/P05023/P27797/Q9Y371/P27708/Q8N163/P11940/P67809/Q15717/P63167/O43768/Q14011/P63104/P50990/P10253/Q99832/Q8TCS8/P35637/P33176/P49368/Q8NC51/O43306/Q14203/Q9Y490/P55957/Q9Y2V2/Q9H3Q1/P16989/P58546/P21964/P02545/O60883/P08670/Q86Y82/Q04917/Q6Y7W6/Q13439/Q96QK1/P35232/P22415/P17987/P19022/P78527/P78371/Q92879/O75400/P63010/O15212/Q99996/P50552/Q9NPI6/P35579/Q14BN4/P49069/Q01970/P06748/Q14126/Q92945/P22307/P29373/P04406/Q16531/P15924/P30626/P30101/P82094/Q4V328/O43670/Q93009/Q15907/Q4VCS5/Q9Y5X1/O00299/P07196/P07237/Q9Y696/P63261/P10109/O76003/Q96A49/Q8WUM4/O15027/P06576/Q9H814/Q99543/Q9BWF3/O95219/Q15904/P46379/P07737/Q96AC1/P62937/Q9UHB6/Q9UEY8/Q14671/Q9H2U2/P62258/Q9Y5A9/Q13492/P60953/P48643/P19388/Q96PU8/P09874/P51149/O14908/O75844/Q02952/Q13310/P02786/P62081/P50570/O95817/Q00839/Q9H2U1/Q6PJT7/P31150/Q99714/P06280/Q15149/P08195/Q14247/O75534/A5YKK6/P46821/Q08209/P46777/O60716/Q12904/Q8NBU5/Q14694/O75083/Q9Y5X3/Q12846/Q9UEE9/Q06787/O60506/P07437/P38919/Q6ZWJ1/P35580/Q13045,162
CC,GO:0002102,podosome,11/762,16/1854,0.6875,1.67273622,2.257022689,0.023381985,0.190448952,0.163869441,P21333/Q16658/P61978/P50570/Q15149/Q14247/Q9UJU6/O75083/Q8IUD2/Q8WX93/Q13045,11
CC,GO:0005903,brush border,12/762,18/1854,0.666666667,1.622047244,2.214762495,0.024993662,0.190448952,0.163869441,P07900/P21333/O75369/P60660/P35579/P61158/O00299/Q9UHB6/Q9UEY8/Q15149/Q9Y5X3/Q13045,12
CC,GO:0070820,tertiary granule,12/762,18/1854,0.666666667,1.622047244,2.214762495,0.024993662,0.190448952,0.163869441,Q13813/P07339/P63167/P10253/Q9Y6G9/P15924/Q6IAA8/Q12905/P36871/Q9UJU6/P09972/P09960,12
CC,GO:0016363,nuclear matrix,23/762,40/1854,0.575,1.399015748,2.130616406,0.025358199,0.190448952,0.163869441,P20700/Q9Y230/P23246/P27708/P22626/Q13573/P43243/O14929/P02545/P08670/O75400/Q96FV9/Q9UQE7/P60900/Q9Y696/P52272/O96019/Q15233/Q8WXF1/Q00839/P25490/Q8TAQ2/Q92922,23
CC,GO:0030665,clathrin-coated vesicle membrane,13/762,20/1854,0.65,1.581496063,2.183564309,0.02613802,0.190448952,0.163869441,P11142/Q14677/Q9Y6I3/P11717/P63010/Q10567/O43747/Q15904/P02786/Q00610/P09497/P04440/Q9UJU6,13
CC,GO:0045211,postsynaptic membrane,13/762,20/1854,0.65,1.581496063,2.183564309,0.02613802,0.190448952,0.163869441,P11142/P19022/P08648/Q9BTT0/Q99996/Q96A49/Q96CX2/Q13492/P46109/P50570/Q8NBU5/Q06787/Q9BVT8,13
CC,GO:0043292,contractile muscle fiber,20/762,34/1854,0.588235294,1.431218157,2.119359736,0.026854241,0.190448952,0.163869441,P06733/Q01082/P21333/O75369/O43707/P68133/Q05682/O00151/Q13153/Q14BN4/P30626/P60900/P63261/O76003/Q09666/Q96AC1/O95817/Q15149/Q08209/Q8WX93,20
CC,GO:0030427,site of polarized growth,19/762,32/1854,0.59375,1.444635827,2.118893517,0.027215498,0.190448952,0.163869441,Q9NZI8/P07900/O75312/P21333/Q16658/Q02790/P46940/Q96N67/P07196/Q96A49/Q07866/P50570/Q14247/P46821/O60716/Q8WX93/Q9UN36/Q13561/Q06787,19
CC,GO:0098862,cluster of actin-based cell projections,15/762,24/1854,0.625,1.520669291,2.144104342,0.027368755,0.190448952,0.163869441,P07900/P21333/O75369/O43306/P60660/P35579/P61158/O00299/Q00013/Q9UHB6/Q9UEY8/Q15149/Q9Y5X3/Q12846/Q13045,15
CC,GO:0032432,actin filament bundle,17/762,28/1854,0.607142857,1.477221597,2.124968983,0.027610892,0.190448952,0.163869441,Q9P0K7/P21333/O75369/Q16658/O43707/P68133/Q05682/O00151/P29966/P13797/P35579/Q4VCS5/Q96AC1/Q9UHB6/O95817/Q8WX93/P35580,17
